"Hometown","District","Region"
"James Town","Accra Metropolis","Greater Accra"
"Adaklu Agblefe","Adaklu","Volta"
"Larteh-Kubease","Akwapem North Municipal","Eastern"
"Bolgatanga","Bolgatanga Municipal","Upper East"
"Adisadel","Cape Coast Metropolis","Central "
"Mafi-Kumasi","Central Tongu","Volta"
"Ejisu-Besease","Ejisu Municipal","Ashanti"
"Ekumfi Ekrawfo","Ekumfi","Central "
"Kikam","Ellembelle","Western"
"Mumford","Gomoa West","Central "
"Sokode","Ho Municipal","Volta"
"Ho","Ho Municipal","Volta"
"Hohoe","Hohoe Municipal","Volta"
"Sirigu","Kasena Nankana West","Upper East"
"Jema","Kintampo South","Bono East"
"Santasi","Kumasi Metropolis","Ashanti"
"Anomabo","Mfantseman Municipal","Central "
"Anomabo","Mfantseman Municipal","Central "
"Koforidua","New Juaben South Municipal","Eastern"
"Kpandu","North Dayi","Volta"
"Mafi Aklamador","North Tongu","Volta"
"Anwomaso","Oforikrom Municipal","Ashanti"
"Ayigya","Oforikrom Municipal","Ashanti"
"Yeji","Pru West","Bono East"
"Tongo","Talensi","Upper East"
"Tamale","Tamale Metropolis","Northern"
"Duayaw Nkwanta","Tano North Municipal","Ahafo"
"Lassia","Wa West","Upper West"
"Asankregwa","Wasa Amenfi West Municipal","Western"
"Baboase","Wassa East","Western"
